eng,myn
There are seven pieces of cake.,ကိတ်မုန့် ခုနစ်ခု ရှိတယ်။
How much is this ballpoint pen?,ဒီဘောပင် ဘယ်လောက်လဲ။
I will buy ten stamps and three postcards.,တံဆိပ်ခေါင်း ဆယ်ခုနဲ့ ပို့စကတ် သုံးခု ဝယ်မယ်။
There are two dictionaries and one magazine on the teacher's desk.,ဆရ့ာရဲ့ စာကြည့်စားပွဲပေါ်မှာ အဘိဓာန် နှစ်အုပ်နဲ့ မဂ္ဂဇင်း တစ်အုပ် ရှိတယ်။
How many handkerchiefs are there?,အဲဒီမှာ လက်ကိုင်ပဝါ ဘယ်နှထည် ရှိသလဲ။
It is five o'clock now.,အခု ငါးနာရီ ထိုးပြီ။
What time is it now?,အခု ဘယ်နှနာရီ ဘယ်နှမိနစ် ရှိပြီလဲ။
It is 10.51 right now.,ဆယ်နာရီ ငါးဆယ့်တစ်မိနစ်ပါ။
What's the date today?,ဒီနေ့ ဘာလ ဘာရက်လဲ။
There is a TV next to the piano.,တီဗွီက စန္ဒရားဘေးမှာ ရှိတယ်။
Class will finish in the morning tomorrow.,မနက်ဖန် နေ့လယ်ဆို အတန်း ပြီးပြီ။
I go to school every day.,နေ့တိုင်း ကျောင်းသွားတယ်။
"Mr Tanaka studies at the library, but I study at home.",မစ္စတာတာနာခါက စာကြည့်တိုက်မှာ စာဖတ်ပေမဲ့ ကျွန်တော်ကတော့ အိမ်မှာပဲ ဖတ်တယ်။
I studied yesterday.,မနေ့တုန်းက ကျွန်တော် စာဖတ်တယ်။
I will go home.,အိမ်ပြန်မယ်။
"No, I won't go.",ဟင့်အင်း၊ မသွားဘူး။
Mr Tanaka drinks Coca-Cola.,မစ္စတာတာနာခါ ကိုကာကိုလာ သောက်တယ်။
I will send a letter to Mr Tanaka.,မစ္စတာတာနာခါဆီကို စာပို့မယ်။
I will lend money to Mr Yamada.,မစ္စတာယာမာဒါကို ပိုက်ဆံချေးမယ်။
I will teach Ms Kimura English.,မစ္စတာခိမုရကို အင်္ဂလိပ်စာ သင်တယ်။
I will borrow money from Mr Yamada.,မစ္စတာယာမာဒါဆီက ပိုက်ဆံချေးတယ်။
I will put a book on the desk.,စာရေးခုံပေါ်မှာ စာအုပ် ထားတယ်။
I wake up at 7.30.,ကျွန်တော် ခုနစ်နာရီခွဲမှာ အိပ်ရာထတယ်။
I will go to sleep at 11.00.,ဆယ့်တစ်နာရီမှာ အိပ်တယ်။
I play tennis on Sundays.,တနင်္ဂနွေနေ့မှာ တင်းနစ်ရိုက်တယ်။
When do you play tennis?,ဘယ်တော့ တင်းနစ်ရိုက်မလဲ။
I watched a film.,ရုပ်ရှင်ကြည့်ခဲ့တယ်။
I travelled during summer vacation.,ကျွန်တော် နွေရာသီပိတ်ရက်မှာ ခရီးထွက်တယ်။
We will have a party for Mr Yamada's birthday.,မစ္စတာယာမာဒါရဲ့ မွေးနေ့ကျရင် ပါတီလုပ်မယ်။
My family's dog is big.,ကျွန်တော့်အိမ်က ခွေးက ကြီးတယ်။
The dog next door is not very big.,ဘေးအိမ်က ခွေးက အကောင်မကြီးဘူး။
It is not cold today.,ဒီနေ့ မအေးဘူး။
Is Japanese food spicy?,ဂျပန်က ဟင်းတွေက စပ်သလား။
"No, it is not spicy.",ဟင့်အင်း၊ မစပ်ပါဘူး။
Is it cold outside?,အပြင်မှာ အေးလား။
How is Japanese food?,ဂျပန်ဟင်းလျာတွေကို ဘယ်လို သဘောရသလဲ။
This bag was expensive.,ဒီအိတ်ကို ဈေးကြီးကြီး ပေးခဲ့ရတယ်။
The food at the party was not very good.,ပါတီက ဟင်းတွေ စားလို့မကောင်းဘူး။
How was yesterday's film?,မနေ့ကရုပ်ရှင် ဘယ်လိုနေလဲ။
My room is not that large.,ကျွန်တော့်အခန်းက သိပ် မကျယ်ဘူး။
I feel very tired.,အရမ်း ပင်ပန်းတယ်။
I didn't get very tired.,သိပ် မပင်ပန်းခဲ့ဘူး။
There aren't a lot of tall buildings around here.,ဒီနားမှာ အဆောက်အအုံ ခပ်မြင့်မြင့်တွေ မရှိဘူး။
There is a good store in front of the station.,ဘူတာရှေ့မှာ ဆိုင်ကြီးဆိုင်ကောင်းတွေ ရှိတယ်။
This room is very quiet.,ဒီအခန်းက အရမ်း တိတ်ဆိတ်တဲ့ အခန်းပါ။
Your clothes are beautiful.,အင်္ကျီလေးက လှတယ်နော်။
Mr Tanaka is tall.,မစ္စတာတာနာခါက အရပ်ရှည်တယ်။
My throat hurts from yesterday.,ကျွန်တော် မနေ့ကတည်းက လည်ချောင်းနာနေတယ်။
Does your head hurt?,ခေါင်းကိုက်လား။
"No, it doesn't hurt.",ဟင့်အင်း၊ မကိုက်ဘူး။
Roads in this town are narrow.,ဒီမြို့က လမ်းကျဉ်းတယ်။
The colours in this picture are very beautiful.,ဒီပန်းချီက အရောင်လှတယ်။
I am not good at singing (a song).,ကျွန်တော် သီချင်းဆို ညံ့တယ်။
Mr Yamada's father works hard.,မစ္စတာယာမာဒါရဲ့ အဖေက အရမ်း အလုပ်လုပ်တယ်။
Mr Yamada's father is a doctor.,မစ္စတာယာမာဒါရဲ့ အဖေက ဆရာဝန်ပါ။
Please do not forget the homework.,အိမ်စာလုပ်ဖို့ မမေ့ပါစေနဲ့။
We can study here.,ဒီမှာ စာဖတ်လို့ရတယ်။
I think that person is a Japanese teacher.,အဲဒီလူက ဂျပန်စာဆရာ ဖြစ်မယ် ထင်တယ်။
This is the tape I bought yesterday.,ဒါ မနေ့က ဝယ်ခဲ့တဲ့ တိတ်ခွေပါ။
"When you do not know the way, please call and ask.",လမ်း မသိခဲ့ရင် ဖုန်းဆက်မေးပါ
Mr Kobayashi is wearing a blue shirt.,မစ္စတာခိုဘာယာရှိက အပြာရောင်ရှပ်အင်္ကျီကို ဝတ်ထားတယ်။
It was written in the letter.,စာထဲမှာ ရေးထားတယ်။
"After eating, we brush our teeth.",ထမင်းစားပြီးရင် သွားတိုက်တယ်။
Please stand up.,မတ်တပ်ထပါ။
Mr Kobayashi is reading a book right now.,အခု မစ္စတာခိုဘာယာရှိ စာကြည့်တိုက်မှာ စာအုပ်ဖတ်နေတယ်။
What is Mr Tanaka doing?,မစ္စတာတာနာခါ အခု ဘာလုပ်နေလဲ။
When did you start studying Japanese?,ဘယ်တုန်းကတည်းက ဂျပန်စာကို လေ့လာနေတာလဲ။
I have been studying since last year.,မနှစ်ကတည်းက လေ့လာနေတယ်။
The window is open.,ပြတင်းပေါက် ပွင့်နေတယ်။
This road has twists and turns.,ဒီလမ်းက ကွေ့ကောက်နေတယ်။
The window is closed.,ပြတင်းပေါက် ပိတ်ထားတယ်။
The lights were already off.,မီးပိတ်ထားပြီးပြီ။
The question is written on page 15.,မေးခွန်းက စာမျက်နှာဆယ်ငါးမှာ ရေးထားတယ်။
The window is open.,ပြတင်းပေါက် ဖွင့်ထားတယ်။
There are a book and a notebook on the desk.,စာရေးခုံပေါ်မှာ ဖတ်စာအုပ်နဲ့ မှတ်စုစာအုပ် ရှိတယ်။
"I have football practice on Mondays, Wednesdays and Fridays.",တနင်္လာနေ့၊ ဗုဒ္ဓဟူးနေ့နဲ့ သောကြာနေ့တွေမှာ ဘောလုံးလေ့ကျင့်ရေး ရှိတယ်။
I shop at department stores and supermarkets.,ကုန်တိုက်တို့ စူပါမားကက်တို့မှာ ဈေးဝယ်တယ်။
There is a postbox in front of the post office and near the station.,စာတိုက်ရဲ့ အရှေ့နဲ့ ဘူတာရဲ့ ဘေးတွေမှာ စာတိုက်ပုံး ရှိတယ်။
"I eat bread, egg and so on.",ပေါင်မုန့်တို့ ကြက်ဥတို့ စားတယ်။
"There are a desk, bed and TV in my room.",ကျွန်တော့်ရဲ့ အခန်းမှာ စာရေးခုံတို့ အိပ်ရာတို့ တီဗွီတို့ ရှိတယ်။
The big black bag is mine.,အမည်းရောင်အိတ်အကြီးကြီးက ကျွန်တော့်ဟာပါ။
I live in a beautiful and quiet flat.,လှပ(သန့်ရှင်း)ပြီး တိတ်ဆိတ်တဲ့ အိမ်ခန်းမှာ နေတယ်။
This flower is small and red.,ဒီပန်းက သေးပြီး နီတယ်။
These socks are cheap but won't wear out quickly.,ဒီခြေအိတ်က ခိုင်ပြီး ဈေးသက်သာတယ်။
This book is difficult with a lot of kanji.,ဒီစာအုပ်က ခန်းဂျီးက များပြီး ခက်တယ်။
"My fever was too high, so I couldn't go to school.",ကိုယ် အရမ်း ပူလို့ ကျောင်းမသွားနိုင်ဘူး။
I played tennis and swam during summer vacation.,ကျွန်တော် နွေရာသီပိတ်ရက်မှာ တင်းနစ်ရိုက်လိုက် ရေကူးလိုက် လုပ်တယ်။
On Sundays my little brother reads books and watches television.,တနင်္ဂနွေနေ့ဆို ညီလေးက စာအုပ်ဖတ်လိုက် တီဗွီကြည့်လိုက် လုပ်တယ်။
I often go to the cinema and pool with my friend.,သူငယ်ချင်းနဲ့ အမြဲလိုလို ရုပ်ရှင်ကြည့်လိုက် ရေကူးကန် သွားလိုက် လုပ်တယ်။
I go back and forth between Tokyo and Osaka by airplane.,လေယာဉ်ပျံနဲ့ တိုကျိုနဲ့အိုဆာကာကို သွားလိုက်လာလိုက် လုပ်တယ်။
"Tomorrow, I will go to the station to meet my friend, and we will go to a concert together.",ကျွန်တော် မနက်ဖန် ဘူတာမှာ သူငယ်ချင်းနဲ့ တွေ့ပြီး သူနဲ့အတူ ဂီတပွဲ သွားမယ်။
"I wake up at 7.00, eat breakfast at the cafeteria, and practise starting at 8.00.",မနက်ခုနစ်နာရီမှာ အိပ်ရာထတယ်၊
Let's sit over there and eat a boxed lunch.,ထမင်းဘူးတွေ ဟိုနားမှာ ထိုင်စားရအောင်။
I walk to school every day.,ကျွန်တော် နေ့တိုင်း ကျောင်းကို လမ်းလျှောက်သွားတယ်။
I study Japanese by listening to tapes.,တိတ်ခွေ နားထောင်ပြီး ဂျပန်စာ လေ့လာတယ်။
"A big typhoon came, and the train stopped.",မုန်တိုင်းကြီး ဝင်လို့ ရထားတွေ ရပ်ကုန်တယ်။
I will walk from school to my house.,ကျောင်းကနေ အိမ်အထိ ခြေလျင်လျှောက်တယ်။
I eat at the cafeteria.,စားသောက်ဆိုင်မှာ ထမင်းစားတယ်။
The sky is blue.,ကောင်းကင်က ပြာတယ်။
I read a book.,ကျွန်တော် စာအုပ် ဖတ်ခဲ့တယ်။
I will leave the house at nine.,ကိုးနာရီမှာ အိမ်က ထွက်မယ်။
I will be absent from school.,ကျောင်းမသွားဘူး။
I only ate bread.,ပေါင်မုန့်ပဲ စားလိုက်တယ်။
I will put up a picture on the wall.,နံရံမှာ ဓာတ်ပုံ ကပ်မယ်။
I will get on the airplane.,လေယာဉ်ပျံ စီးမယ်။
I will show this book to Mr Tanaka.,မစ္စတာတာနာခါကို စာအုပ် ပြမယ်။
Watching TV is not good for your eyes.,တီဗွီက မျက်စိအတွက် မကောင်းဘူး။
I will stay at a hotel.,ဟိုတယ်မှာ တည်းမယ်။
Flowers will blossom in the garden.,ခြံထဲမှာ ပန်းတွေ ပွင့်တယ်။
I leave home at seven.,ခုနစ်နာရီမှာ အိမ်က ထွက်မယ်။
I came to Japan on 15 March this year.,ဒီနှစ် သုံးလပိုင်း ဆယ်ငါးရက်နေ့တုန်းက ဂျပန်ကို လာတယ်။
I will go buy a shirt.,ရှပ်အင်္ကျီ သွားဝယ်မယ်။
The airplane is flying south.,လေယာဉ်ပျံက တောင်ဘက်ကို ပျံသွားတယ်။
Our summer vacation is from 1 August to 31 September.,ရှစ်လပိုင်း တစ်ရက်နေ့ကနေ ကိုးလပိုင်း သုံးဆယ်ရက်နေ့အထိက နွေရာသီပိတ်ရက်ပါ။
"People with the numbers one to ten, please go inside.",နံပါတ်တစ်ကနေ နံပါတ်တစ်ဆယ်အထိလူတွေ ဝင်ကြပါ။
I will get out of the classroom.,စာသင်ခန်းက ထွက်မယ်။
The teacher asked a question.,ဆရာက မေးခွန်းထုတ်လိုက်ပါတယ်။
There will be a concert at the park.,ပန်းခြံမှာ ဂီတပွဲ ရှိတယ်။
I write with a pen.,ဘောပင်နဲ့ စာရေးတယ်။
I go to school by bus.,ဘတ်စကားနဲ့ ကျောင်းသွားတယ်။
I was absent from school because I was ill.,နေမကောင်းလို့ ကျောင်းမသွားဘူး။
The train was delayed by the typhoon.,မုန်တိုင်းကြောင့် ရထားနောက်ကျတယ်။
I always study by myself.,အမြဲတမ်း တစ်ယောက်တည်း စာဖတ်နေတယ်။
Ten more minutes until five.,နောက်ဆယ်မိနစ်ဆို ငါးနာရီ ထိုးပြီ။
My class went on a trip together.,အတန်းကလူတွေနဲ့ ခရီးသွားခဲ့တယ်။
I will do that work by myself.,အဲဒီအလုပ်ကိုတော့ ကိုယ့်ဟာကိုယ် လုပ်မယ်။
That bag is the same as mine.,ဟိုအိတ်က ကျွန်တော့်အိတ်နဲ့ အတူတူပဲ။
This notebook is different from my notebook.,ဒီမှတ်စုစာအုပ်က ကျွန်တော့်မှတ်စုစာအုပ်နဲ့ မတူဘူး။
"When we wake up, we say ""good morning"".","မနက် အိပ်ရာထတဲ့အခါ ""မင်္ဂလာမနက်ခင်းပါ""လို့ ပြောတယ်။"
"This kanji reads ""yama"".","ဒီခန်းဂျီးကို ""ယာမ""လို့ ဖတ်တယ်။"
"Two bottles of Coca-Cola, please.",ကိုကာကိုလာ နှစ်ခွက် ပေးပါ။
Please write your name.,နာမည် ရေးပါ။
"Yes, all right.",ဟုတ်ကဲ့၊ နားလည်ပါပြီ။
Please wait a second.,ခဏလောက် စောင့်ပါ။
"Yes, okay.",အင်း၊ ကောင်းပါတယ်။
You may eat your boxed lunch in this room.,ဒီအခန်းထဲမှာ ထမင်းဘူး ဖွင့်စားလည်း ရတယ်။
May I go outside?,အပြင်ထွက်လို့ ရမလား။
You are not allowed to use your mobile inside the hospital.,ဆေးရုံမှာ လက်ကိုင်ဖုန်း မသုံးရဘူး။
Please don't take a bath today.,ဒီနေ့ ရေမချိုးပါနဲ့။
We are using the computer. Please do not switch it off.,ကွန်ပျူတာ သုံးနေတယ်၊ ခလုတ် မပိတ်လိုက်ပါနဲ့။
Why don't we play tennis Saturday afternoon?,စနေနေ့ နေ့လယ်ပိုင်းမှာ တင်းနစ်ကစားရအောင်လား။
Why don't we go the pool?,ရေကူးကန် သွားရအောင်လား။
I will hold that baggage.,အဲဒီအထုပ်ကို ကျွန်တော် သယ်ပေးမယ်။
I will do that work.,အဲဒီအလုပ်ကို ကျွန်တော် လုပ်ပါ့မယ်။
I was going to study at the library but it was closed.,စာကြည့်တိုက်မှာ စာဖတ်မလို့ လုပ်ထားတာ စာကြည့်တိုက် မဖွင့်ဘူး။
"When I get home, I am going to clean my room.",အိမ်ပြန်ရင် သန့်ရှင်းရေးလုပ်မယ်လို့ စိတ်ကူးထားတယ်။
My little sister wants to become a Japanese teacher.,ညီမလေးက ဂျပန်စာဆရာမ လုပ်ဖို့ စိတ်ကူးနေတယ်။
I do not want to go anywhere tonight.,ဒီည ဘယ်မှ မသွားချင်ဘူး။
I would like to listen to Japanese music.,ဂျပန်တေးဂီတကို နားထောင်ချင်တယ်။
I want to drink water.,ရေသောက်ချင်တယ်။
"Yes, okay.",ဟုတ်ကဲ့၊ ရပါတယ်။
I wanted to go to a university in Tokyo.,တိုကျိုကတက္ကသိုလ်မှာ တက်ချင်တယ်။
I want a computer now.,ကျွန်တော် အခု ကွန်ပျူတာ လိုချင်တယ်။
Which one do you want?,ဘာ လိုချင်ပါသလဲ။
I want this and that.,ဒါရယ် အဲဒါရယ် လိုချင်ပါတယ်။
I like music.,ကျွန်တော် တေးဂီတကို နှစ်သက်တယ်။
I don't like sports.,ကျွန်တော် အားကစား ဝါသနာမပါဘူး။
What is your favourite food?,ဘာအစားအစာ ကြိုက်သလဲ။
Class is fun for me.,ကျွန်တော် အတန်းတက်ရတာ ပျော်တယ်။
"No, I can't.",ဟင့်အင်း၊ မတတ်ဘူး။
Mr Tanaka can play tennis.,မစ္စတာတာနာခါက တင်းနစ်ရိုက်တတ်တယ်။
Can you call abroad with that phone?,ဟိုတယ်လီဖုန်းနဲ့ နိုင်ငံခြားကို ဖုန်းခေါ်လို့ရသလား။
I can write kanji.,ကျွန်တော် ခန်းဂျီး ရေးတတ်တယ်။
There is a person over there. Who is he?,ဟိုမှာ လူတစ်ယောက် ရှိတယ်နော်။ အဲဒီလူက ဘယ်သူလဲ။
This watch must be expensive.,ဒီနာရီ ကျိန်းသေ ဈေးကြီးမှာ သေချာတယ်။
"It is 10.00 now, so the post office must be open.",အခု ဆယ်နာရီဆိုတော့၊ စာတိုက် ဖွင့်နေလောက်ပြီ။
It feels like someone is living in this house.,ဒီအိမ်မှာ တစ်ယောက်ယောက် နေနေသလိုပဲ။
It looks like it is going to rain.,မိုးရွာမလိုပဲ။
The car is not in the yard. It looks like my mother is out.,ခြံထဲမှာ ကား မရှိဘူး။ အမေ အပြင်ထွက်သွားတယ် ထင်တယ်။
A new student will be coming next month.,လာမယ့်လမှာ တပည့်အသစ် လာမယ်လို့ ကြားတယ်။
I heard from the teacher that there will be a new student coming next month.,ဆရာ့ဆီက ကြားတာ၊ နောက်လကစပြီး ကျောင်းသားသစ် လာမယ်ဆိုပဲ။
Who wrote this essay? There is no name.,ဒီစာစီစာကုံးကို ရေးတဲ့သူက ဘယ်သူလဲ။ နာမည်တပ်မထားဘူး။
The food my mother cooks is very good.,အမေ ချက်တဲ့ဟင်းက အရမ်း စားလို့ကောင်းတယ်။
Please hand in the paper with the answers written on it.,အဖြေ ရေးပြီးတဲ့စာရွက်ကို ထပ်လိုက်ပါ။
I saw Mr Kobayashi studying at the library.,စာကြည့်တိုက်ထဲမှာ မစ္စတာတာနာခါ စာဖတ်နေတာ တွေ့လိုက်တယ်။
I saw Mr Tanaka running.,မစ္စတာတာနာခါ ပြေးနေတာကို မြင်လိုက်တယ်။
Mr Yamada was the one who ate the cake.,ကိတ်မု့န် စားတဲ့လူက မစ္စတာယာမာဒါပါ။
"I already took my medicine, so I'm alright.",ဆေးသောက်လိုက်တာမို့လို့ ကောင်းသွားမှာပါ။
I am not going to school tomorrow because I don't have class.,မနက်ဖန် အတန်းမရှိလို့ ကျောင်းမသွားဘူး။
How did you know my number?,ဘယ်လိုလုပ် ကျွန်တော့်ဖုန်းနံပါတ် သိသွားတာလဲ။
Why?,ဘာဖြစ်လို့လဲ။
Why were you absent from school?,ဘာဖြစ်လို့ အတန်းပျက်တာလဲ။
I could not wake up because I had a fever.,ကိုယ်ပူပြီး အိပ်ရာက မထနိုင်ဘူး။
"Today, we didn't have class because our teacher was ill.",ဒီနေ့ ဆရာ နေမကောင်းလို့ အတန်းမရှိဘူး။
"Mr Tanaka is always full of energy, but today he is quiet.",မစ္စတာယာမာဒါက အမြဲတမ်း တက်ကြွနေပြီး၊ ဒီနေ့တော့ ငြိမ်နေတယ်။
"Although today is a Sunday, I have work.",ဒီနေ့ တနင်္ဂနွေနေ့ဆိုပေမဲ့ အလုပ် ရှိတယ်။
"I live in Tokyo, whereas my little brother lives in Kyoto.",ကျွန်တော်က တိုကျိုမှာ နေပေမဲ့ ညီလေးကတော့ ကျိုတိုမှာ နေတယ်။
It is easier to use a bicycle if you are going to that university.,အဲဒီတက္ကသိုလ်ကို သွားမယ်ဆိုရင် စက်ဘီးက အဆင်ပြေတယ်။
Every morning my father reads the newspaper after waking up.,အဖေ မနက် အိပ်ရာထတိုင်း သတင်းစာ ဖတ်တယ်။
"If you press this button, the door will open.",ဒီခလုတ်ကို နှိပ်ရင် တံခါး ပွင့်မယ်။
"If they are cheap, I will buy them.",ဈေးသက်သာရင် ဝယ်မယ်။
Let's walk if it is close.,နီးတယ်ဆိုရင် ခြေလျင်လျှောက်မယ်လေ။
"If you don't like it, you can stop.",မလုပ်ချင်ရင် မလုပ်လည်း ရတယ်။
"If you buy a car, your money will be used up.",ကား ဝယ်လိုက်ရင် ပိုက်ဆံ ကုန်သွားမယ်။
"If you buy a car, you can go anywhere.",ကား ဝယ်ထားရင် ဘယ်မဆို သွားနိုင်တယ်။
How can you memorize kanji?,ခန်းဂျီးကို မှတ်မိအောင် ဘယ်လို လုပ်ရမလဲ။
"If you read the newspaper every day, you can remember it.",နေ့တိုင်း သတင်းစာ ဖတ်ရင် မှတ်မိလိမ့်မယ်။
"Even if it snows, I will still go to school.",နှင်းကျလည်း ကျောင်းသွားတယ်။
I will swim even if it is cold.,ချမ်းပေမဲ့လည်း ရေကူးမယ်။
Mr Yamada gave a book to my little sister.,မစ္စတာယာမာဒါက ညီမလေးကို စာအုပ် ပေးတယ်။
I gave flowers to my father.,ကျွန်တော် အဖေ့ကို ပန်း ပေးတယ်။
I received a book from my father.,ကျွန်တော် အဖေ့ဆီက စာအုပ် ရခဲ့တယ်။
I lent Mr Kobayashi my notebook.,ကျွန်တော် မစ္စတာခိုဘာယာရှိကို မှတ်စုစာအုပ် ငှားလိုက်တယ်။
Mr Kimura lent the book to me.,မစ္စတာခိမုရဆီက စာအုပ် ငှားခဲ့တယ်။
I lent my money to my little brother.,ကျွန်တော် ညီလေးကို ပိုက်ဆံချေးလိုက်တယ်။
My little sister made a boxed lunch for my father.,ညီမလေးက အဖေ့ကို ထမင်းဘူး ထည့်ပေးတယ်။
I helped my little sister with her homework.,ကျွန်တော် ညီမလေးရဲ့ အိမ်စာကို ကြည့်ပေးတယ်။
Mr Kimura carried my baggage for me.,မစ္စတာခိမုရက ကျွန်တော့်ရဲ့ အထုပ်ကို ကူသယ်ပေးတယ်။
My mother taught me how to cook.,ဟင်းချက်နည်းကို အမေ့ဆီက သင်ထားတာ။
I will walk to the station.,ဘူတာအထိ လမ်းလျှောက်သွားမယ်။
I will buy a drink and bring it with me when I go there next week.,နောက်အပတ် အဲဒီကို သွားရင် သောက်စရာ ဝယ်သွားမယ်။
I had dinner with my friend today.,ဒီနေ့ သူငယ်ချင်းနဲ့ ညစာ စားလာတယ်။
"Excuse me, may I try this shirt on?",တစ်ဆိတ်လောက် မေးပါရစေ၊ ဒီအင်္ကျီ ဝတ်ကြည့်လို့ရမလား။
I am a student.,ကျွန်တော် ကျောင်းသားပါ။
The film I saw yesterday was interesting.,မနေ့က ကြည့်ခဲ့တဲ့ရုပ်ရှင် အရမ်း စိတ်ဝင်စားဖို့ကောင်းတယ်။
I am a student but my elder brother works at a company.,ကျွန်တော်က ကျောင်းသားပေမဲ့ အစ်ကိုကတော့ ကုမ္ပဏီဝန်ထမ်းပါ။
What kind of work do you do?,မင်း ဘာအလုပ် လုပ်သလဲ။
"When I was eating dinner, my friend came over to my home.",ကျွန်တော် ညစာစားနေတုန်း သူငယ်ချင်း အိမ်ရောက်လာတယ်။
"When we go abroad, we bring our passports.",နိုင်ငံခြားသွားတဲ့အခါ ပတ်စပို့ကို ယူသွားတယ်။
"When I came to Japan, I took pictures at the airport.",ဂျပန်ကို လာတုန်းက လေယာဉ်ကွင်းမှာ ဓာတ်ပုံရိုက်ခဲ့တယ်။
I telephoned while I was in my room.,အခန်းမှာ ရှိတုန်းက ဖုန်းဆက်တယ်။
I used to swim a lot when I was young.,လူငယ်ပိုင်းတုန်းကဆို ခဏခဏ ရေကူးတယ်။
I ate food while watching TV.,တီဗွီကြည့်ရင်း ထမင်းစားတယ်။
I went to the beach and climbed a mountain this summer vacation.,ဒီနှစ်နွေရာသီပိတ်ရက်မှာ ပင်လယ်ကိုလည်း သွားဖြစ်တယ်၊ တောင်လည်း တက်ဖြစ်တယ်။
Your eyes will go bad if you read books in the dark.,အမှောင်ထဲမှာ စာဖတ်ရင် မျက်စိပျက်တတ်တယ်။
Why don't we have some tea?,လက်ဖက်ရည်လေးဘာလေး သောက်ရအောင်လား။
"Spring has come, but it hasn't become warm yet.",နွေဦးရာသီထဲ ဝင်လာပေမဲ့ နွေးမလာသေးဘူး။
I went to university yesterday.,ကျွန်တော် မနေ့က တက္ကသိုလ်ကို သွားတယ်။
I quit smoking.,ဆေးလိပ်ဖြတ်လိုက်ပြီ။
No one came today.,ဒီနေ့ ဘယ်သူမှ မလာဘူး။
You really work hard.,မင်း တော်တော် အလုပ်လုပ်တာပဲနော်။
How about tea?,လက်ဖက်ရည်တို့ဘာတို့ သောက်ဦးမလား။
